test,mode,duration_ms,leaks,,,duration_ms,duration_ms,duration_ms,duration_ms
test1.txt,basic,0.124,1,,,0.124,0.082,0.062,0.07
test1.txt,brute,0.132,1,,,0.132,0.1,0.067,0.102
test1.txt,optimized,0.08,1,,,0.08,0.069,0.046,0.052
test1.txt,optimized_dfs,0.052,1,,,0.052,0.032,0.03,0.062
test2.txt,basic,0.599,1,,,0.599,0.836,0.467,0.921
test2.txt,brute,1.399,1,,,1.399,2.159,0.935,1.062
test2.txt,optimized,0.412,1,,,0.412,0.241,0.172,0.299
test2.txt,optimized_dfs,0.351,1,,,0.351,0.269,0.167,0.302
test3.txt,basic,0.366,0,,,0.366,0.311,0.21,0.299
test3.txt,brute,2.131,0,,,2.131,0.931,1.27,0.894
test3.txt,optimized,0.255,0,,,0.255,0.171,0.285,0.402
test3.txt,optimized_dfs,0.272,0,,,0.272,0.194,0.193,0.189
test4.txt,basic,0.359,1,,,0.359,0.267,0.273,0.274
test4.txt,brute,2.42,1,,,2.42,2.19,1.625,1.775
test4.txt,optimized,0.357,1,,,0.357,0.423,0.327,0.307
test4.txt,optimized_dfs,0.342,1,,,0.342,0.472,0.28,0.375
test5.txt,basic,0.11,0,,,0.11,0.203,0.069,0.067
test5.txt,brute,0.071,0,,,0.071,0.053,0.044,0.054
test5.txt,optimized,0.036,0,,,0.036,0.034,0.131,0.043
test5.txt,optimized_dfs,0.031,0,,,0.031,0.029,0.025,0.026
test6.txt,basic,0.493,0,,,0.493,0.33,0.292,0.438
test6.txt,brute,2.15,0,,,2.15,1.454,2.419,2.305
test6.txt,optimized,0.326,0,,,0.326,0.213,0.258,0.28
test6.txt,optimized_dfs,0.262,0,,,0.262,0.223,0.217,0.186
test7.txt,basic,0.288,1,,,0.288,0.178,0.158,0.266
test7.txt,brute,12.234,1,,,12.234,2.067,1.404,1.259
test7.txt,optimized,0.246,2,,,0.246,0.198,0.536,0.278
test7.txt,optimized_dfs,0.918,2,,,0.918,2.992,0.232,0.141
test8.txt,basic,0.589,2,,,0.589,0.314,0.255,0.326
test8.txt,brute,0.574,2,,,0.574,0.463,0.615,0.572
test8.txt,optimized,0.73,2,,,0.73,0.127,0.135,0.341
test8.txt,optimized_dfs,0.357,2,,,0.357,0.224,0.147,0.129
test9.txt,basic,0.176,2,,,0.176,0.655,0.346,0.235
test9.txt,brute,1.036,2,,,1.036,0.689,0.871,0.674
test9.txt,optimized,0.23,2,,,0.23,0.483,0.165,0.181
test9.txt,optimized_dfs,0.155,2,,,0.155,0.493,0.114,0.121
test10.txt,basic,0.341,1,,,0.341,0.298,0.449,0.161
test10.txt,brute,0.633,1,,,0.633,0.465,1.337,0.335
test10.txt,optimized,0.196,1,,,0.196,0.193,1.485,0.147
test10.txt,optimized_dfs,0.192,1,,,0.192,0.206,0.837,0.168
test11.txt,basic,0.279,1,,,0.279,0.313,0.308,0.171
test11.txt,brute,0.891,1,,,0.891,0.734,0.692,0.723
test11.txt,optimized,0.265,1,,,0.265,0.375,0.246,0.432
test11.txt,optimized_dfs,0.259,1,,,0.259,0.208,0.194,0.229
test12.txt,basic,0.256,1,,,0.256,0.313,0.252,0.269
test12.txt,brute,0.349,1,,,0.349,0.301,0.346,0.457
test12.txt,optimized,0.204,0,,,0.204,0.158,5.323,0.142
test12.txt,optimized_dfs,0.182,0,,,0.182,0.162,0.894,0.186
test13.txt,basic,0.345,1,,,0.345,1.312,1.39,0.288
test13.txt,brute,0.881,1,,,0.881,1.712,0.694,0.607
test13.txt,optimized,0.339,1,,,0.339,0.322,0.931,0.246
test13.txt,optimized_dfs,0.483,1,,,0.483,0.499,0.28,0.5
test14.txt,basic,0.1,1,,,0.1,0.141,0.074,0.067
test14.txt,brute,0.288,1,,,0.288,0.54,0.232,0.235
test14.txt,optimized,0.12,1,,,0.12,0.971,0.216,0.139
test14.txt,optimized_dfs,0.109,1,,,0.109,1.296,0.067,0.069
